,type,title,authors,publish_date,source_records,number_of_pages,publishers,isbn_10,isbn_13,physical_format,full_title,covers,works,key,lc_classifications,local_id,latest_revision,revision,created,last_modified,isbn,identifiers,classifications,description,publish_places,contributions,subjects,languages,pagination,dewey_decimal_class,edition_name,lccn,publish_country,by_statement,oclc_numbers,subtitle,notes,ocaid,weight,physical_dimensions,first_sentence,series,subject_people,table_of_contents,coverimage,genres,copyright_date,ia_box_id,ia_loaded_id,contributors,subject_place,url,uri_descriptions,uris,links,other_titles,work_title,openlibrary,oclc_number,original_isbn,work_titles,subject_time,location
17,{'key': '/type/edition'},Fates Worse Than Death,[{'key': '/authors/OL20187A'}],"Nov 07, 2013","['amazon:009958347X', 'bwb:9780099583479']",240.0,['Vintage Classics'],['009958347X'],['9780099583479'],paperback,Fates Worse Than Death An Autobiographical Collage of the 1980s,[9023454],[{'key': '/works/OL20356853W'}],/books/OL27568392M,['PS3572.O5'],,4,4,"{'type': '/type/datetime', 'value': '2019-10-26T21:47:25.574707'}","{'type': '/type/datetime', 'value': '2021-10-27T03:51:52.457400'}",9780099583479,{'amazon': ['009958347X']},,,,,,,,,,,,,,An Autobiographical Collage of the 1980s,"{'type': '/type/text', 'value': 'Source title: Fates Worse Than Death: An Autobiographical Collage of the 1980s'}",,,,,,,,,,,,,,,,,,,,,,,,,,
18,{'key': '/type/edition'},Fates Worse Than Death,[{'key': '/authors/OL20187A'}],,"['amazon:0099583623', 'bwb:9780099583622']",,['Random House'],['0099583623'],['9780099583622'],paperback,Fates Worse Than Death An Autobiographical Collage of the 1980's,[10942033],[{'key': '/works/OL24401942W'}],/books/OL32318398M,,,3,3,"{'type': '/type/datetime', 'value': '2021-05-05T10:36:36.420634'}","{'type': '/type/datetime', 'value': '2022-11-18T11:01:01.227248'}",9780099583622,,,,,,,,,,,,,,,An Autobiographical Collage of the 1980's,"{'type': '/type/text', 'value': ""Source title: Fates Worse Than Death: An Autobiographical Collage of the 1980's""}",,,,,,,,,,,,,,,,,,,,,,,,,,
19,{'key': '/type/edition'},Mother Night,[{'key': '/authors/OL20187A'}],1997,['bwb:9780099750413'],176.0,['Vintage'],['0099750414'],,,,,[{'key': '/works/OL98487W'}],/books/OL17416589M,,,7,7,"{'type': '/type/datetime', 'value': '2008-09-28T18:28:10.917971'}","{'type': '/type/datetime', 'value': '2022-11-17T15:02:51.368042'}",9780099750413,"{'goodreads': ['1233638'], 'librarything': ['816500']}",,,['London'],,,[{'key': '/languages/eng'}],"xii, 176 p. ;",['813.54'],,,enk,Kurt Vonegut.,,,"{'type': '/type/text', 'value': 'Originally published: London: Jonathan Cape, 1968.'}",,,,,,,,,,,,,,,,,,,,,,,,,,
20,{'key': '/type/edition'},Slaughterhouse 5,[{'key': '/authors/OL20187A'}],"March 21, 1991",,156.0,['VINTAGE (RAND)'],['0099800209'],['9780099800200'],Paperback,,[78495],[{'key': '/works/OL98459W'}],/books/OL9274676M,,,8,8,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2022-04-25T17:36:48.012878'}",9780099800200,"{'goodreads': ['108978'], 'librarything': ['816613']}",,,,,"['General', 'Fiction - General']",[{'key': '/languages/eng'}],,,,,,,,,,,4.8 ounces,7.6 x 5.1 x 0.7 inches,,,,,,,,,,,,,,,,,,,,,,,
21,{'key': '/type/edition'},Sandman,,"April 19, 1996","['amazon:0006482783:o-0:1535260564:224769', 'amazon:0006482783:1:1237559466:235405']",368.0,['TITAN GRAPHIC NOVELS'],['0006482783'],['9780006482789'],Paperback,,[5024],[{'key': '/works/OL679335W'}],/books/OL9213945M,,,11,11,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2020-10-17T13:14:11.176439'}",9780006482789,"{'librarything': ['43055'], 'goodreads': ['1051916']}",{},,,,,,,,,,,,,Book of Dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,{'key': '/type/edition'},Legends,[{'key': '/authors/OL6890242A'}],"September 1, 2003",,400.0,['Voyager'],['0007154348'],['9780007154340'],Hardcover,,[11077],[{'key': '/works/OL1960657W'}],/books/OL9217292M,,,7,7,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2013-01-04T06:50:08.349581'}",9780007154340,"{'librarything': ['4038999'], 'goodreads': ['1933470']}",,,,,"['Fiction anthologies & collections', 'Fantasy']",,,,,,,,,,,,2.1 pounds,9.3 x 6.4 x 2.3 inches,"{'type': '/type/text', 'value': ""The world of Robert Jordan's The Wheel of Time lies both in our future and our past, a world of kings and queens and Aes Sedai, women who can tap the True Source and wield the One Power, which turns the Wheel and drives the universe: a world where the war between the Light and the Shadow is fought every day.""}",,,,,,,,,,,,,,,,,,,,,,
23,{'key': '/type/edition'},Interworld,[{'key': '/authors/OL53305A'}],2013,"['promise:bwb_daily_pallets_2021-05-21:KP-286-387', 'ia:interworld0000gaim', 'bwb:9780007523429', 'promise:bwb_daily_pallets_2021-05-21:KP-303-726']",288.0,['Harpercollins'],['0007523424'],['9780007523429'],,Interworld,[10188049],[{'key': '/works/OL679342W'}],/books/OL28259352M,[''],"['urn:bwbsku:KP-286-387', 'urn:bwbsku:KP-303-726']",11,11,"{'type': '/type/datetime', 'value': '2020-06-16T05:40:26.928030'}","{'type': '/type/datetime', 'value': '2023-02-28T13:10:00.424181'}",9780007523429,,,"{'type': '/type/text', 'value': ""Joey Harker isn't a hero. In fact, he's the kind of guy who gets lost in his own house. But one day, Joey gets really lost. He walks straight out of his world and into another dimension. Joey's walk between worlds makes him prey to armies of magic and science, both determined to harness Joey's power to travel between the dimensions. The only thing standing in their way is Joey - or, more precisely, an army of Joeys, all from different dimensions and all determined to save the worlds.""}",,"['Reaves, Michael, author']","['Fiction', 'Space and time', 'Good and evil']",[{'key': '/languages/eng'}],288 pages,['813.54'],,,enk,"Neil Gaiman, Michael Reaves",['840433784'],,"{'type': '/type/text', 'value': 'Originally published: New York: Eos, 2007.'}",interworld0000gaim,,,,"['Interworld -- bk. 1', 'Interworld -- bk. 1.']",,,,,,,,,,,,,,,,,,,,,
24,{'key': '/type/edition'},The Silver Dream,[{'key': '/authors/OL53305A'}],2013,"['amazon:0007523432', 'ia:silverdream0000gaim', 'bwb:9780007523436']",,['HarperCollinsChildrensBooks'],['0007523432'],['9780007523436'],hardcover,The Silver Dream,[9026129],[{'key': '/works/OL16814352W'}],/books/OL27571129M,,,6,6,"{'type': '/type/datetime', 'value': '2019-10-27T03:59:05.349910'}","{'type': '/type/datetime', 'value': '2022-12-17T08:06:03.620819'}",9780007523436,{'amazon': ['0007523432']},{},,,,,,,,,,,,,,Source title: The Silver Dream (Interworld),,,,,,,,,,,,,,,,,,,,,,,,,,
25,{'key': '/type/edition'},Interworld,"[{'key': '/authors/OL53305A'}, {'key': '/authors/OL3234078A'}]",2013,['bwb:9780007523443'],288.0,['HarperCollins Publishers Limited'],,['9780007523443'],,Interworld,,[{'key': '/works/OL679342W'}],/books/OL33479912M,,,3,3,"{'type': '/type/datetime', 'value': '2021-09-18T07:06:38.912913'}","{'type': '/type/datetime', 'value': '2022-07-10T18:45:53.581373'}",9780007523443,,,,,,,[{'key': '/languages/eng'}],,,,,,,,,,,0.272,,,,,,,,,,,,,,,,,,,,,,,,
26,{'key': '/type/edition'},The Silver Dream,,2014,['bwb:9780007523450'],,"[""HarperCollins Children's Books""]",,['9780007523450'],,,[10481545],[{'key': '/works/OL16814352W'}],/books/OL30644456M,,,4,4,"{'type': '/type/datetime', 'value': '2020-10-17T11:00:14.083934'}","{'type': '/type/datetime', 'value': '2021-10-05T07:33:15.878720'}",9780007523450,{},{},,,,,[{'key': '/languages/eng'}],,,,,,,,,,silverdream0000gaim,,,,,,,,,,,,,,,,,,,,,,,,,
27,{'key': '/type/edition'},Silver Dream,"[{'key': '/authors/OL53305A'}, {'key': '/authors/OL3234078A'}]",2013,['bwb:9780007523467'],,['HarperCollins Publishers Limited'],,['9780007523467'],,Silver Dream,,[{'key': '/works/OL16814352W'}],/books/OL36706237M,,,3,3,"{'type': '/type/datetime', 'value': '2022-01-27T04:11:39.157903'}","{'type': '/type/datetime', 'value': '2022-07-10T18:18:27.161796'}",9780007523467,,,,,,"[""Children's fiction"", 'Good and evil, fiction', 'Space and time, fiction', 'Science fiction']",[{'key': '/languages/eng'}],256,,,,,,,,,,0.272,,,,,,,,,,,,,,,,,,,,,,,,
28,{'key': '/type/edition'},The Silver Dream,[{'key': '/authors/OL53305A'}],,['amazon:0007523475'],,['HarperCollinsChildrensBooks'],['0007523475'],['9780007523474'],paperback,The Silver Dream,[10942035],[{'key': '/works/OL16814352W'}],/books/OL32318400M,,,3,3,"{'type': '/type/datetime', 'value': '2021-05-05T10:36:48.525435'}","{'type': '/type/datetime', 'value': '2021-06-06T16:08:21.670496'}",9780007523474,,,,,,,,,,,,,,,,"{'type': '/type/text', 'value': 'Source title: The Silver Dream (Interworld)'}",,,,,,,,,,,,,,,,,,,,,,,,,,
29,{'key': '/type/edition'},Eternity's wheel,[{'key': '/authors/OL394799A'}],2015,"['ia:eternityswheel0000reav', 'bwb:9780007523481', 'promise:bwb_daily_pallets_2020-07-30']",,,['0007523483'],['9780007523481'],,Eternity's wheel,[10753005],[{'key': '/works/OL20000175W'}],/books/OL32097272M,,['urn:bwbsku:KO-156-319'],3,3,"{'type': '/type/datetime', 'value': '2021-03-26T19:36:01.457739'}","{'type': '/type/datetime', 'value': '2022-12-10T03:46:28.091609'}",9780007523481,,,,,"['Reaves, Mallory, author', 'Gaiman, Neil']",['Fiction'],[{'key': '/languages/eng'}],1 volume,['813.6'],,,enk,Michael Reaves and Mallory Reaves ; created by Neil Gaiman,['951009754'],,"{'type': '/type/text', 'value': '11+.'}",eternityswheel0000reav,,,,['An InterWorld novel'],['Joey Harker (Fictitious character)'],,,,,,,,,,,,,,,,,,,,
30,{'key': '/type/edition'},Eternity's Wheel,"[{'key': '/authors/OL53305A'}, {'key': '/authors/OL3234078A'}]",2015,['bwb:9780007523498'],,['HarperCollins Publishers Limited'],,['9780007523498'],,Eternity's Wheel,,[{'key': '/works/OL20000175W'}],/books/OL36718597M,,,3,3,"{'type': '/type/datetime', 'value': '2022-01-27T07:36:40.134334'}","{'type': '/type/datetime', 'value': '2022-07-10T18:50:16.867004'}",9780007523498,,,,,,,[{'key': '/languages/eng'}],288,,,,,,,,,,0.272,,,,,,,,,,,,,,,,,,,,,,,,
31,{'key': '/type/edition'},Eternity's Wheel,,,"['amazon:0007523505', 'ia:eternityswheelin0000gaim', 'bwb:9780007523504']",,['HARPER COLLINS'],['0007523505'],['9780007523504'],paperback,Eternity's Wheel,[8948829],[{'key': '/works/OL20000175W'}],/books/OL27491205M,,,5,5,"{'type': '/type/datetime', 'value': '2019-10-18T02:57:29.243702'}","{'type': '/type/datetime', 'value': '2022-02-27T00:09:05.025863'}",9780007523504,{'amazon': ['0007523505']},{},,,,,,,,,,,,,,Source title: Eternity's Wheel (Interworld),,,,,,,,,,,,,,,,,,,,,,,,,,
32,{'key': '/type/edition'},Eternity's Wheel,[{'key': '/authors/OL53305A'}],"May 19, 2015","['promise:bwb_daily_pallets_2021-05-25:KO-938-674', 'amazon:0007581955', 'bwb:9780007581955', 'promise:bwb_daily_pallets_2021-05-21:KO-899-807', 'promise:bwb_daily_pallets_2021-05-20:KO-543-248', 'promise:bwb_daily_pallets_2021-05-19:KO-675-441', 'promise:bwb_daily_pallets_2021-05-19:KO-636-444', 'promise:bwb_daily_pallets_2021-05-14:KO-806-714', 'promise:bwb_daily_pallets_2021-05-13:KP-077-756', 'promise:bwb_daily_pallets_2021-05-12:KO-823-442', 'promise:bwb_daily_pallets_2021-05-07:kp-005-777', 'promise:bwb_daily_pallets_2021-05-07:KP-048-236']",,"['imusti', 'HarperCollins Childrens Books']",['0007581955'],['9780007581955'],hardcover,Eternity's Wheel,[10481546],[{'key': '/works/OL20000175W'}],/books/OL28652544M,,"['urn:bwbsku:KO-938-674', 'urn:bwbsku:KO-899-807', 'urn:bwbsku:KO-543-248', 'urn:bwbsku:KO-675-441', 'urn:bwbsku:KO-636-444', 'urn:bwbsku:KO-806-714', 'urn:bwbsku:KP-077-756', 'urn:bwbsku:KO-823-442', 'urn:bwbsku:kp-005-777', 'urn:bwbsku:KP-048-236']",27,27,"{'type': '/type/datetime', 'value': '2020-08-08T00:31:17.432388'}","{'type': '/type/datetime', 'value': '2023-02-28T14:04:59.824846'}",9780007581955,,,,,,,,,,,,,,,,"{'type': '/type/text', 'value': ""Source title: Eternity's Wheel (Interworld)""}",eternityswheelin0000gaim,,,,,,,,,,,,,,,,,,,,,,,,,
33,{'key': '/type/edition'},Smoke And Mirrors,[{'key': '/authors/OL53305A'}],"Jan 05, 2001","['amazon:0060010878', 'bwb:9780060010874']",,['HarperCollins Publishers'],['0060010878'],['9780060010874'],unbound,Smoke And Mirrors Short Fictions And Illusions,[10942076],[{'key': '/works/OL679357W'}],/books/OL32318439M,,,4,4,"{'type': '/type/datetime', 'value': '2021-05-05T10:40:09.246456'}","{'type': '/type/datetime', 'value': '2022-02-28T14:29:43.932094'}",9780060010874,,,,,,,,,,,,,,,Short Fictions And Illusions,"{'type': '/type/text', 'value': 'Source title: Smoke And Mirrors: Short Fictions And Illusions'}",,,,,,,,,,,,,,,,,,,,,,,,,,
34,{'key': '/type/edition'},American Gods,,2001,['bwb:9780060093648'],,"['William Morrow & Co, Inc.']",['0060093641'],['9780060093648'],Hardcover,,[1064743],[{'key': '/works/OL679360W'}],/books/OL9229602M,,,9,9,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2022-03-01T00:59:53.263790'}",9780060093648,"{'goodreads': ['2707900'], 'librarything': ['2280068']}",,,,,"['Fantasy - Contemporary', 'Fiction - Fantasy']",[{'key': '/languages/eng'}],,,,,,,,,,,,,"{'type': '/type/text', 'value': 'Ombre purgeait trois ans de prison.'}",,,,,,,,,,,,,,,,,,,,,,
35,{'key': '/type/edition'},Smoke and Mirrors,[{'key': '/authors/OL53305A'}],2001,['bwb:9780060097226'],,['HarperCollins Publishers'],,['9780060097226'],,Smoke and Mirrors,,[{'key': '/works/OL679357W'}],/books/OL37357713M,,,3,3,"{'type': '/type/datetime', 'value': '2022-02-28T22:04:23.701686'}","{'type': '/type/datetime', 'value': '2022-07-10T18:44:10.958241'}",9780060097226,,,,,,,[{'key': '/languages/eng'}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,{'key': '/type/edition'},Stardust,[{'key': '/authors/OL53305A'}],2009,['bwb:9780060097233'],,['HarperCollins Publishers'],,['9780060097233'],,Stardust,,[{'key': '/works/OL15833328W'}],/books/OL37365154M,,,3,3,"{'type': '/type/datetime', 'value': '2022-02-28T23:54:56.749935'}","{'type': '/type/datetime', 'value': '2022-07-10T18:16:00.921251'}",9780060097233,,,,,,"['Fiction, fantasy, historical', 'Fiction, romance, fantasy', 'Fiction, action & adventure', 'England, fiction']",[{'key': '/languages/eng'}],368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,{'key': '/type/edition'},Anansi Boys,,2005,,336.0,['William Morrow'],['006051518X'],['9780060515188'],Hardcover,,[12049134],[{'key': '/works/OL679266W'}],/books/OL3424351M,['PR6057.A319 A85 2005'],,15,15,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}","{'type': '/type/datetime', 'value': '2021-10-07T17:31:24.035132'}",9780060515188,"{'librarything': ['4609344'], 'goodreads': ['59236367']}",{},"{'type': '/type/text', 'value': 'God is dead. Meet the kids.\r\n\r\nWhen Fat Charlie\'s dad named something, it stuck. Like calling Fat Charlie ""Fat Charlie."" Even now, twenty years later, Charlie Nancy can\'t shake that name, one of the many embarrassing ""gifts"" his father bestowed — before he dropped dead on a karaoke stage and ruined Fat Charlie\'s life.\r\n\r\nMr. Nancy left Fat Charlie things. Things like the tall, good-looking stranger who appears on Charlie\'s doorstep, who appears to be the brother he never knew. A brother as different from Charlie as night is from day, a brother who\'s going to show Charlie how to lighten up and have a little fun ... just like Dear Old Dad. And all of a sudden, life starts getting very interesting for Fat Charlie.\r\n\r\nBecause, you see, Charlie\'s dad wasn\'t just any dad. He was Anansi, a trickster god, the spider-god. Anansi is the spirit of rebellion, able to overturn the social order, create wealth out of thin air, and baffle the devil. Some said he could cheat even Death himself.\r\n\r\nReturning to the territory he so brilliantly explored in his masterful New York Times bestseller, American Gods, the incomparable Neil Gaiman offers up a work of dazzling ingenuity, a kaleidoscopic journey deep into myth that is at once startling, terrifying, exhilarating, and fiercely funny — a true wonder of a novel that confirms Stephen King\'s glowing assessment of the author as ""a treasure-house of story, and we are lucky to have him.""\r\n--front flap'}",['New York'],,"['Anansi (Legendary character) -- Fiction.', 'Fathers and sons -- Fiction.', 'Brothers -- Fiction.']",[{'key': '/languages/eng'}],336 p. ;,"[""813'.54""]",First Edition (1),['2005047176'],nyu,Neil Gaiman,"['60402072', '1102087621']",A novel,US/CAN,anansiboys0000gaim_p4y7,,,"It begins, as most things begin, with a song.",,,"[{'level': 0, 'label': '', 'title': 'Which is mostly about names and family relationships', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Which is mostly about the things that happen after funerals', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which there is a family reunion', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Which concludes with an evening of wine, women and song', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which we examine the many consequences of the morning after', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which Fat Charlie fails to get home, even by taxi', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which Fat Charlie goes a long way', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which a pot of coffee comes in particularly useful', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which Fat Charlie answers the door and Spider encounters flamingos', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which Fat Charlie sees the world and Maeve Livingstone is dissatisfied', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which Rosie learns to say no to strangers and Fat Charlie acquires a lime', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'In which Fat Charlie does several things for the first time', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Which proves to be unlucky for some', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Which comes to several conclusions', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Acknowledgments', 'pagenum': ''}]",/static/files//355/OL3424351M_coverimage_1220304996330355.jpg,['Fiction.'],2005,,,,,,,,,,,,,,,,
38,{'key': '/type/edition'},Anansi Boys,,2006-10,"['bwb:9780060515195', 'amazon:0060515198']",400.0,['HarperTorch'],['0060515198'],['9780060515195'],Mass Market Paperback,,[12049284],[{'key': '/works/OL679266W'}],/books/OL22236487M,,,17,17,"{'type': '/type/datetime', 'value': '2008-11-09T03:06:57.305402'}","{'type': '/type/datetime', 'value': '2022-11-14T23:45:45.488417'}",9780060515195,"{'librarything': ['4609344'], 'goodreads': ['59236553']}",{},"{'type': '/type/text', 'value': ""Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn't know his dad was a god. And he never knew he had a brother.\r\n\r\nNow brother Spider's on his doorstep -- about to make Fat Charlie's life more interesting... and a lot more dangerous.\r\n--back cover""}",['New York'],,,[{'key': '/languages/eng'}],"xiii, 400 p.",,First HarperTorch paperback printing (1),,nyu,Neil Gaiman.,['965133586'],,"{'type': '/type/text', 'value': 'USA/CAN'}",anansiboys0000gaim,,,,,,,,,2006,,,,,,,,,,,,,,,,
39,{'key': '/type/edition'},Fragile Things,,"September 26, 2006",['ia:fragilethingssho00gaim'],400.0,['William Morrow'],['0060515228'],['9780060515225'],Hardcover,,[26652],[{'key': '/works/OL679359W'}],/books/OL9232262M,,,11,11,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}","{'type': '/type/datetime', 'value': '2020-10-18T10:08:24.380135'}",9780060515225,"{'librarything': ['901239'], 'goodreads': ['16788']}",{},,,,"['Popular English Fiction', 'Fiction', 'Fiction - General', 'Short Stories (single author)', 'Fiction / General', 'General', 'Fantasy fiction', 'Horror fiction']",[{'key': '/languages/eng'}],,,,,,,,Short Fictions and Wonders,,,1.2 pounds,9 x 6 x 1.3 inches,,,,,,,,,,,,,,,,,,,,,,,
